id,Ime,distance,angle,X,Y
,P-XIX-61,1,196.338439977001,601652.809,4994801.358
,P-XIX-61,5,196.338439977001,601950.099,4995815.483
,P-XIX-61,10,196.338439977001,602347.946,4997198.403
,P-XIX-61,15,196.338439977001,602796.997,4998704.452
,P-XIX-61,20,196.338439977001,603223.183,5000158.274
,P-XIX-61,25,196.338439977001,603618.958,5001508.356
,P-XIX-61,30,196.338439977001,604077.142,5003071.331
,P-XIX-61,37,196.338439977001,604633.295,5004968.499
,P-XIX-61,45,196.338439977001,605300.252,5007243.648
,P-XIX-61,55,229.236394799008,605793.674,5008641.676
,P-XIX-61,62,200.339222112666,606147.293,5009595.625
4,P-XX-61-2,1,212.550003492194,613309.327,4996616.895
4,P-XX-61-2,5,212.550003492194,613954.97,4997628.401
3,P-XX-61-2,6,212.301031375515,614494.344,4998477.188
3,P-XX-61-2,10,212.301031375515,615316.714,4999795.549
3,P-XX-61-2,15,212.301031375515,616188.425,5001160.683
3,P-XX-61-2,20,212.301031375515,616912.427,5002302.064
3,P-XX-61-2,25,212.301031375515,617709.809,5003578.449
3,P-XX-61-2,29,212.301031375515,618466.389,5004760.092
3,P-XX-61-2,31,180.609506576687,618474.613,5005533.119
,P-XX-61-2,31,,618499.284,5006174.567
2,P-XX-61-2,34,182.52611691162,618548.626,5007292.99
,P-XX-61-2,46,186.753574035534,618491.06,5009727.204
,P-XX-61-2,50,188.939565003148,618639.087,5010977.205
,P-XX-61-2,58,188.939565003148,618869.35,5012441.023
,U-IX-61-6,25,107.362228107729,589928.617,5006667.239
,U-IX-61-6,30,107.362228107729,588945.109,5006974.74
,U-IX-61-6,35,107.362228107729,587528.456,5007417.667
,U-IX-61-6,40,107.362228107729,585509.135,5008049.022
,U-IX-61-6,45,107.362228107729,584202.133,5008457.666
,U-IX-61-6,50,107.362228107729,582560.98,5008970.784
,U-IX-61-6,55,107.362228107729,581213.405,5009392.113
,U-IX-61-6,60,108.787262780665,579787.86,5009855.882
,U-IX-61-6,65,108.787262780665,578394.984,5010329.71
,U-IX-61-6,70,108.787262780665,577013.78,5010799.568
,U-IX-61-6,75,108.787262780665,575649.824,5011263.558
,U-IX-61-6,81,108.787262780665,574107.535,5011788.213
,U-IX-61-6,82,,573659.583,5011959.937
,U-IX-61-6,84,105.32691788792,573217.942,5012080.979
,U-IX-61-6,90,105.32691788792,571462.214,5012562.179
,U-IX-61-6,105,94.6000956662571,567277.344,5013229.085
,U-IX-61-6,110,94.6000956662571,565879.967,5013341.518
,U-IX-61-6,115,134.325963102004,590744.702,5006086.881
,U-IX-61-6,122,106.422849678243,592376.715,5004492.821
,U-IX-61-6,125,106.422849678243,593266.342,5004230.604
,U-IX-61-6,130,106.422849678243,594727.767,5003799.85
,U-IX-61-6,135,106.422849678243,596044.556,5003411.727
,U-IX-61-6,140,106.422849678243,597423.749,5003005.211
,U-IX-61-6,145,84.279084661295,599268.172,5002461.569
,U-IX-61-6,150,84.279084661295,600936.945,5002628.75
,U-IX-61-6,155,84.279084661295,602130.968,5002748.369
,U-IX-61-6,160,84.279084661295,603503.546,5002885.877
,U-IX-61-6,165,84.279084661295,605399.04,5003075.771
,U-IX-61-6,170,84.279084661295,607112.949,5003247.474
,U-IX-61-6,175,84.279084661295,608858.625,5003422.359
,U-IX-61-6,180,84.279084661295,610489.13,5003585.706
,U-IX-61-6,185,84.279084661295,612095.929,5003746.679
,U-IX-61-6,190,84.279084661295,613504.521,5003887.794
,U-IX-61-6,195,84.279084661295,615265.222,5004064.185
,U-IX-61-6,200,84.279084661295,616789.061,5004216.846
,U-IX-61-7,205,84.798285272962,618074.159,5004354.791
,U-IX-61-7,210,87.8562391347634,619556.291,5004410.271
,U-IX-61-7,213,87.8562391347634,620303.375,5004438.237
,U-IX-61-8,214,87.1116439093939,620647.724,5004455.815
,U-IX-61-8,220,87.1116439093939,622188.639,5004534.968
,U-IX-61-8,225,87.1116439093939,623310.146,5004589.964
,U-IX-61-8,230,87.1116439093939,624510.805,5004655.753
,U-IX-61-8,235,87.1116439093939,625621.004,5004713.319
,U-IX-61-8,240,87.1116439093939,626920.348,5004783.221
,U-IX-61-8,245,87.1116439093939,628116.896,5004849.01
,U-IX-61-8,255,87.1116439093939,629218.871,5004890.129
,U-X--61,1,291.572872863601,602347.946,4997198.403
,U-X--61,5,291.572872863601,603395.935,4996784.049
,U-X--61,10,291.572872863601,604655.962,4996285.859
,U-X--61,15,291.572872863601,605977.75,4995763.25
,U-X--61,20,291.572872863601,607241.881,4995263.437
,U-X--61,25,291.572872863601,608270.354,4994856.799
,U-X--61,30,291.572872863601,609466.381,4994383.913
,U-X--61,35,291.572872863601,610547.004,4993956.656
,U-X--61,38,291.572872863601,611426.906,4993608.76
